Tätigkeit?Jahr?Institution?Ort?
"Wissenschaftlicher Mitarbeiter: Data Science und Machine Learning in der Preisstatistik"?"seit 08/2023"?"Statistisches Bundesamt"?"Wiesbaden"
"Buchhaltung und betriebswirtschaftliche Beratung"?"2018-2023"?"MUT GbR (www.lernfoerderung.de)"?"Wiesbaden, Deutschland"
"Freiberuflicher Fachdozent für IT und Betriebswirtschaftslehre"?"2018-2023"?"Kölner Wirtschaftsfachschule - Wifa-Gruppe - GmbH"?"Mainz/Darmstadt, Deutschland"
"Wissenschaftliche Hilfskraft mit Abschluss"?"2018-2019"?"Johannes Gutenberg-Universität"?"Mainz, Deutschland", 

