Institution?Jahr?Link?Titel?Ort
"The Linux Foundation"?2024?"..."?"Open Source Software Development, Linux and Git Specialization"?"Coursera"
"Vanderbilt University"?2024?"https://coursera.org/share/05cf8dda0d7b9d954d92db0c678aeca7"?"Prompt Engineering Specialization"?"Coursera"
"IBM"?"2024"?"https://www.credly.com/badges/94381b7f-9bba-495b-b95b-c84842d96a4e/public_url"?"IBM Data Engineering Professional Certificate"?"Coursera"

