a?b?Kategorie?Beschreibung
??Programmierkenntnisse?Fundierte Kenntnisse in Python, SQL und Shellskripten. Umfangreiche Erfahrung in der Anwendung von Big Data Technologien wie Hadoop und Spark sowie in der Automatisierung vielfältiger Prozesse.
??Erfahrungen?Schwerpunkt des Studiums auf Softwareentwicklung und maschinellem Lernen. Berufserfahrung in der Entwicklung und dem Betrieb komplexer Klassifikatormodelle, der Verarbeitung großer Datensätze sowie der Analyse und Visualisierung komplexer Zusammenhänge. Versiert im Einsatz moderner Entwicklungstools wie Git, Jira und Confluence.
??Softskills?Neugierde, Motivation und schnelle Auffassungsgabe für neue Technologien und Frameworks. Freude an interdisziplinärem Austausch und Kommunikation.
