Tätigkeit?Jahr?Institution?Ort?
"Buchhalter"?"seit 2018"?"MUT GbR"?"Wiesbaden, Deutschland"
"Freiberuflicher kaufmännischer Fachdozent"?"2018-2023"?"Kölner Wirtschaftsfachschule - Wifa-Gruppe - GmbH"?"Mainz/Darmstadt, Deutschland"
"Wissenschaftliche Hilfskraft mit Abschluss"?"2018-2019"?"Johannes Gutenberg-Universität"?"Mainz, Deutschland", 

