Degree?Year?Institution?Place?
"Master of Science - Business Education (Minor: Management and Economics)"?"2018-2023 (expected)"?"Johannes Gutenberg-University"?"Mainz, Germany"
"Bachelor of Science - Business Education (Minor: Unternehmensrechnung/Controlling)"?"2014-2018"? "Johannes Gutenberg-University"? "Mainz, Germany"
"Office Management Assistant"?"2012-2014"?"A. Panzer GmbH"?"Wiesbaden, Germany"
"General Higher Qualification for University Entrance"?"2007-2010"?"Martin-Niemöller-Schule"?"Wiesbaden, Germany"
